InputSize,AverageSortTime,
50000,2119061,
100000,2119620,
150000,2120302,
200000,2120861,
250000,2121420,
300000,2121978,
350000,2122598,
400000,2123095,
450000,2123715,
500000,2124212,
550000,2124895,
600000,2125453,
650000,2126012,
700000,2126757,
750000,2127315,
800000,2127873,
850000,2128494,
900000,2129177,
950000,2129735,
1000000,2130294,
