InputSize,AverageSortTime,
50000,2135818,
100000,2136500,
150000,2136997,
200000,2137555,
250000,2138362,
300000,2138858,
350000,2139354,
400000,2140782,
450000,2141464,
500000,2141899,
550000,2142395,
600000,2142954,
650000,2143574,
700000,2144133,
750000,2144816,
800000,2145560,
850000,2146118,
900000,2146739,
950000,2147422,
1000000,2148601,
