InputSize,MemoryUsage,
50000,286650291,
100000,521390107,
150000,629824500,
200000,878403785,
250000,998125118,
300000,1189491321,
350000,1352273337,
400000,1541190907,
450000,1673495611,
500000,1813758729,
550000,1989278758,
600000,2122674273,
650000,-2020751768,
700000,-1886503784,
750000,-1772167183,
800000,-1644855583,
850000,-1505933117,
900000,-1351910082,
950000,-1181646101,
1000000,-900646309,
