InputSize,MemoryUsage,
50000,390196848,
100000,556982339,
150000,765890401,
200000,1063772796,
250000,1281797683,
300000,1519487617,
350000,1776765158,
400000,2013096179,
450000,-2056613106,
500000,-1825981143,
550000,-1640051085,
600000,-1455433160,
650000,-1224695618,
700000,-1103167770,
750000,-1002592087,
800000,-917073527,
850000,-838219463,
900000,-692090159,
950000,-568791282,
1000000,-435927128,
