InputSize,AverageSortTime,
50000,11538319,
100000,30349032,
150000,56758826,
200000,90530069,
250000,131139654,
300000,179480509,
350000,234780226,
400000,297073436,
450000,367735093,
500000,444568001,
550000,531137234,
600000,623894102,
650000,722512849,
700000,831097484,
750000,945213649,
800000,1067765410,
850000,1198855477,
900000,1336544580,
950000,1481222583,
1000000,1633702853,
