InputSize,MemoryUsage,
50000,318347664,
100000,434824675,
150000,650538412,
200000,904962441,
250000,1140862881,
300000,1359091380,
350000,1560779406,
400000,1800723075,
450000,2006982958,
500000,-2093738900,
550000,-1881480818,
600000,-1678722320,
650000,-1494917644,
700000,-1371839957,
750000,-1276260556,
800000,-1207486620,
850000,-1111938639,
900000,-957928200,
950000,-829192940,
1000000,-683585013,
