InputSize,MemoryUsage,
50000,26715782,
100000,114533209,
150000,303899278,
200000,634669371,
250000,775269132,
300000,1066192646,
350000,1196162296,
400000,1429182361,
450000,1614863148,
500000,1805063209,
550000,2002385641,
600000,-2079991437,
650000,-1888989306,
700000,-1688913106,
750000,-1525446997,
800000,-1381378957,
850000,-1219187173,
900000,-1087921703,
950000,-957994367,
1000000,-780142829,
