InputSize,MemoryUsage,
50000,23587792,
100000,104842888,
150000,164979681,
200000,245172619,
250000,320097377,
300000,396974123,
350000,467560326,
400000,535537353,
450000,610237633,
500000,664193102,
550000,735350134,
600000,811219360,
650000,922363968,
700000,1040012276,
750000,1213941675,
800000,1416317587,
850000,1620772819,
900000,1865417315,
950000,2139957529,
1000000,-1878490815,
