InputSize,AverageSortTime,
50000,4654,
100000,7385,
150000,12536,
200000,14336,
250000,16012,
300000,17812,
350000,19425,
400000,21288,
450000,23025,
500000,24763,
550000,26439,
600000,28301,
650000,30038,
700000,31776,
750000,33576,
800000,35500,
850000,37238,
900000,42513,
950000,44375,
1000000,46238,
