InputSize,MemoryUsage,
50000,1549843,
100000,3099686,
150000,4649529,
200000,7159392,
250000,10869273,
300000,16019174,
350000,22849094,
400000,31599033,
450000,42508992,
500000,55818969,
550000,71768966,
600000,90598982,
650000,112549017,
700000,137859072,
750000,166769145,
800000,199519238,
850000,236349350,
900000,277499481,
950000,324759360,
1000000,376819257,
