InputSize,AverageSortTime,
50000,1054,
100000,3103,
150000,3537,
200000,3971,
250000,4468,
300000,4964,
350000,5337,
400000,5709,
450000,6144,
500000,6640,
550000,7075,
600000,7571,
650000,8006,
700000,8440,
750000,8875,
800000,9372,
850000,9806,
900000,10241,
950000,10675,
1000000,11110,
