InputSize,AverageSortTime,
50000,11804249,
100000,31812112,
150000,59010200,
200000,93377288,
250000,134366374,
300000,183203652,
350000,238830864,
400000,301662140,
450000,372733583,
500000,450123796,
550000,535581212,
600000,628974885,
650000,728219948,
700000,836789565,
750000,951847996,
800000,1074554847,
850000,1206569432,
900000,1344458557,
950000,1489175782,
1000000,1642015321,
