InputSize,AverageSortTime,
50000,2318090,
100000,2319269,
150000,2320262,
200000,2321317,
250000,2322931,
300000,2324358,
350000,2325413,
400000,2326282,
450000,2327213,
500000,2328206,
550000,2330937,
600000,2333481,
650000,2334101,
700000,2334846,
750000,2335528,
800000,2336335,
850000,2337080,
900000,2337824,
950000,2338631,
1000000,2339376,
