InputSize,MemoryUsage,
50000,75549504,
100000,210129036,
150000,444755824,
200000,591078243,
250000,804590715,
300000,961236715,
350000,1111547393,
400000,1258366360,
450000,1452718686,
500000,1558266420,
550000,1697909809,
600000,1813206819,
650000,1952905211,
700000,2099199457,
750000,-2048915477,
800000,-1881373725,
850000,-1720488132,
900000,-1502030484,
950000,-1221695794,
1000000,-883856746,
