InputSize,MemoryUsage,
50000,6995452,
100000,13990905,
150000,20986358,
200000,27981811,
250000,34977264,
300000,41972716,
350000,48968169,
400000,57883641,
450000,68959132,
500000,82434643,
550000,98550172,
600000,117545721,
650000,139661289,
700000,165136876,
750000,194212483,
800000,227128108,
850000,264123753,
900000,305439417,
950000,351315100,
1000000,401990803,
