InputSize,MemoryUsage,
50000,1565328,
100000,3130656,
150000,4695984,
200000,7221331,
250000,10946697,
300000,16911120,
350000,24555561,
400000,34120022,
450000,45844502,
500000,59969001,
550000,76733520,
600000,96378057,
650000,119142614,
700000,145267190,
750000,174991785,
800000,208556400,
850000,246201033,
900000,288165686,
950000,334690358,
1000000,386015049,
