InputSize,AverageSortTime,
50000,1241,
100000,1861,
150000,2792,
200000,3413,
250000,4033,
300000,4716,
350000,5336,
400000,5833,
450000,6453,
500000,7074,
550000,7633,
600000,8067,
650000,8687,
700000,9246,
750000,9743,
800000,10363,
850000,11170,
900000,13094,
950000,13652,
1000000,14335,
