InputSize,MemoryUsage,
50000,52892380,
100000,105784761,
150000,158677142,
200000,212529542,
250000,267581961,
300000,324074400,
350000,382246857,
400000,442339334,
450000,504591830,
500000,569244345,
550000,636536880,
600000,706709433,
650000,780002006,
700000,856654598,
750000,873737174,
800000,894659769,
850000,919662384,
900000,948985017,
950000,982867670,
1000000,1021550342,
