InputSize,Quick,QuickHybrid(Thres = 64)
50000,1241,2399203
100000,1861,2400444
150000,2792,2401623
200000,3413,2402554
250000,4033,2404229
300000,4716,2405347
350000,5336,2406340
400000,5833,2407457
450000,6453,2408636
500000,7074,2415773
550000,7633,2418566
600000,8067,2419373
650000,8687,2420056
700000,9246,2420800
750000,9743,2421917
800000,10363,2422786
850000,11170,2423531
900000,13094,2424338
950000,13652,2425144
1000000,14335,2425889
